Date,Time,Exercise,# of Reps,Weight,Notes
"2/26/20","05:20","One-Arm Rows","20","35",""
"2/26/20","05:15","bench reverse press","12","50",""
"2/24/20","08:30","Cable Lat Stretch - Narrow Grip","15","70",""
"2/24/20","08:30","Cable Lat Stretch - Narrow Grip","15","70"
"2/24/20","08:30","Cable Lat Stretch - Wide Grip","15","70",""
"2/24/20","08:30","Cable Lat Stretch - Wide Grip","15","70"
"2/24/20","07:00","Decline Crunches","15","0",""
"2/24/20","06:59","Side Plank Bends","20","0",""
"2/24/20","06:59","Cuban Press","5","30",""
"2/24/20","06:56","High Plank Pull-Through","30","30",""
"2/24/20","06:55","Incline Press","12","50",""
"2/24/20","06:55","Incline Curls","10","40",""
"2/24/20","06:55","Triceps Kickbacks","10","40",""
"2/24/20","06:52","Incline Row","12","55",""
"2/24/20","06:52","Incline Two Arm Extension","10","40",""
"2/24/20","06:50","Incline Spider Curls","12","45",""
"2/24/20","06:47","Decline Crunches","10","0",""
"2/24/20","06:47","Arnold Press","14","40",""
"2/24/20","06:44","Side Plank Bends","20","0",""
"2/24/20","06:44","Cuban Press","8","30",""
"2/24/20","06:41","High Plank Pull-Through","20","30",""
"2/24/20","06:40","Triceps Kickbacks","10","40",""
"2/24/20","06:39","Incline Row","12","50",""
"2/24/20","06:39","Incline Two Arm Extension","8","40",""
"2/24/20","06:39","Incline Press","10","50",""
"2/24/20","06:39","Incline Curls","10","40",""
"2/24/20","06:34","Incline Spider Curls","10","45",""
"2/24/20","06:33","Arnold Press","12","40",""
"2/24/20","06:26","Side Plank Bends","20","0",""
"2/24/20","06:26","Cuban Press","8","30",""
"2/24/20","06:26","Decline Crunches","10","0",""
"2/24/20","06:22","High Plank Pull-Through","30","30",""
"2/24/20","06:21","Incline Press","10","50",""
"2/24/20","06:21","Incline Curls","10","45",""
"2/24/20","06:21","Triceps Kickbacks","8","40",""
"2/24/20","06:18","Incline Row","10","55",""
"2/24/20","06:18","Incline Two Arm Extension","7","40",""
"2/24/20","06:16","Incline Spider Curls","10","45",""
"2/24/20","06:15","Arnold Press","10","40",""
"2/23/20","08:37","Standing Side Bend","10","0",""
